JobID,startTime,submitTime,user
754912,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:18:09 CDT 2019,uozuguze
754913,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:18:09 CDT 2019,uozuguze
754914,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:18:09 CDT 2019,uozuguze
754915,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:18:10 CDT 2019,uozuguze
754916,Fri Apr 19 18:33:50 CDT 2019,Fri Apr 19 13:18:10 CDT 2019,uozuguze
755238,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
754918,Fri Apr 19 19:34:55 CDT 2019,Fri Apr 19 13:18:10 CDT 2019,uozuguze
754919,Fri Apr 19 15:26:00 CDT 2019,Fri Apr 19 13:18:56 CDT 2019,christan
754920,Fri Apr 19 16:44:34 CDT 2019,Fri Apr 19 13:19:06 CDT 2019,christan
754921,Fri Apr 19 17:07:27 CDT 2019,Fri Apr 19 13:19:09 CDT 2019,christan
754922,Fri Apr 19 17:08:09 CDT 2019,Fri Apr 19 13:19:16 CDT 2019,christan
755239,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
754924,Fri Apr 19 18:00:06 CDT 2019,Fri Apr 19 13:19:22 CDT 2019,christan
754925,Fri Apr 19 18:12:52 CDT 2019,Fri Apr 19 13:19:25 CDT 2019,christan
754926,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:19:27 CDT 2019,christan
754927,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:19:30 CDT 2019,christan
754928,Fri Apr 19 19:11:05 CDT 2019,Fri Apr 19 13:19:33 CDT 2019,christan
754929,Fri Apr 19 19:34:56 CDT 2019,Fri Apr 19 13:19:36 CDT 2019,christan
754930,Fri Apr 19 19:34:56 CDT 2019,Fri Apr 19 13:19:39 CDT 2019,christan
754931,Fri Apr 19 19:34:56 CDT 2019,Fri Apr 19 13:19:42 CDT 2019,christan
754932,Fri Apr 19 19:34:56 CDT 2019,Fri Apr 19 13:19:46 CDT 2019,christan
754933,Fri Apr 19 19:34:56 CDT 2019,Fri Apr 19 13:19:49 CDT 2019,christan
754934,Fri Apr 19 19:34:56 CDT 2019,Fri Apr 19 13:19:52 CDT 2019,christan
754935,Fri Apr 19 19:35:39 CDT 2019,Fri Apr 19 13:20:25 CDT 2019,christan
754936,Fri Apr 19 19:35:39 CDT 2019,Fri Apr 19 13:20:28 CDT 2019,christan
754937,Fri Apr 19 20:00:03 CDT 2019,Fri Apr 19 13:20:31 CDT 2019,christan
754938,Fri Apr 19 20:12:47 CDT 2019,Fri Apr 19 13:20:34 CDT 2019,christan
754939,Fri Apr 19 20:12:47 CDT 2019,Fri Apr 19 13:20:59 CDT 2019,christan
754940,Fri Apr 19 20:12:47 CDT 2019,Fri Apr 19 13:21:03 CDT 2019,christan
754941,Fri Apr 19 20:22:15 CDT 2019,Fri Apr 19 13:21:08 CDT 2019,christan
754942,Fri Apr 19 20:22:16 CDT 2019,Fri Apr 19 13:21:12 CDT 2019,christan
754943,Fri Apr 19 20:22:16 CDT 2019,Fri Apr 19 13:21:15 CDT 2019,christan
754944,Fri Apr 19 20:22:16 CDT 2019,Fri Apr 19 13:21:18 CDT 2019,christan
754945,Fri Apr 19 21:02:32 CDT 2019,Fri Apr 19 13:21:23 CDT 2019,christan
754946,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:26 CDT 2019,christan
754947,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:29 CDT 2019,christan
754948,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:32 CDT 2019,christan
754949,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:35 CDT 2019,christan
754950,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:38 CDT 2019,christan
754951,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:42 CDT 2019,christan
754952,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:44 CDT 2019,christan
754953,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:48 CDT 2019,christan
754954,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:51 CDT 2019,christan
754955,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:21:54 CDT 2019,christan
754956,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:22:00 CDT 2019,christan
754957,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:22:03 CDT 2019,christan
754958,Fri Apr 19 21:02:33 CDT 2019,Fri Apr 19 13:22:06 CDT 2019,christan
754959,Fri Apr 19 13:58:12 CDT 2019,Fri Apr 19 13:26:01 CDT 2019,johruska
754565,Thu Apr 18 19:52:49 CDT 2019,Thu Apr 18 19:46:28 CDT 2019,obazgir
754980,Fri Apr 19 21:21:20 CDT 2019,Fri Apr 19 17:05:29 CDT 2019,rosutton
754981,Sat Apr 20 02:42:44 CDT 2019,Fri Apr 19 17:08:30 CDT 2019,hge
754982,Sat Apr 20 06:40:16 CDT 2019,Fri Apr 19 17:09:04 CDT 2019,hge
754988,Sat Apr 20 06:27:35 CDT 2019,Fri Apr 19 18:19:49 CDT 2019,pnourian
754989,Sat Apr 20 07:01:33 CDT 2019,Fri Apr 19 18:36:11 CDT 2019,pnourian
754990,Sat Apr 20 19:36:49 CDT 2019,Fri Apr 19 18:36:11 CDT 2019,pnourian
754991,Sat Apr 20 21:30:07 CDT 2019,Fri Apr 19 18:36:11 CDT 2019,pnourian
754992,Sat Apr 20 21:30:58 CDT 2019,Fri Apr 19 18:36:11 CDT 2019,pnourian
754993,Sat Apr 20 21:32:27 CDT 2019,Fri Apr 19 18:36:12 CDT 2019,pnourian
754911,Fri Apr 19 18:32:34 CDT 2019,Fri Apr 19 13:18:09 CDT 2019,uozuguze
754917,Fri Apr 19 18:59:57 CDT 2019,Fri Apr 19 13:18:10 CDT 2019,uozuguze
754923,Fri Apr 19 17:35:29 CDT 2019,Fri Apr 19 13:19:19 CDT 2019,christan
755096,Fri Apr 19 22:33:00 CDT 2019,Fri Apr 19 22:26:45 CDT 2019,kafroz
755101,Fri Apr 19 22:48:45 CDT 2019,Fri Apr 19 22:36:57 CDT 2019,msanati
755102,Fri Apr 19 23:59:12 CDT 2019,Fri Apr 19 22:41:44 CDT 2019,msanati
754085,Sat Apr 20 02:04:31 CDT 2019,Wed Apr 17 17:34:01 CDT 2019,che80809
754293,Thu Apr 18 11:03:41 CDT 2019,Thu Apr 18 10:05:31 CDT 2019,sabaty
755188,Sat Apr 20 08:42:41 CDT 2019,Fri Apr 19 23:39:39 CDT 2019,hge
755189,Sat Apr 20 11:40:54 CDT 2019,Fri Apr 19 23:41:40 CDT 2019,hge
755190,Sat Apr 20 01:18:50 CDT 2019,Sat Apr 20 01:18:50 CDT 2019,msanati
755192,Sat Apr 20 02:23:05 CDT 2019,Sat Apr 20 02:23:05 CDT 2019,msanati
755193,Sat Apr 20 02:42:43 CDT 2019,Sat Apr 20 02:25:24 CDT 2019,msanati
755194,Sat Apr 20 02:53:48 CDT 2019,Sat Apr 20 02:53:48 CDT 2019,msanati
755195,Sat Apr 20 02:54:56 CDT 2019,Sat Apr 20 02:54:56 CDT 2019,msanati
755196,Sat Apr 20 03:08:12 CDT 2019,Sat Apr 20 03:08:12 CDT 2019,msanati
755197,Sat Apr 20 03:09:16 CDT 2019,Sat Apr 20 03:08:28 CDT 2019,msanati
755198,Sat Apr 20 03:11:35 CDT 2019,Sat Apr 20 03:09:20 CDT 2019,msanati
755199,Sat Apr 20 03:55:30 CDT 2019,Sat Apr 20 03:55:29 CDT 2019,msanati
755200,Sat Apr 20 03:59:10 CDT 2019,Sat Apr 20 03:59:10 CDT 2019,msanati
755201,Sat Apr 20 04:00:39 CDT 2019,Sat Apr 20 04:00:39 CDT 2019,msanati
755204,Sat Apr 20 09:43:22 CDT 2019,Sat Apr 20 09:43:21 CDT 2019,janfisch
755205,Sat Apr 20 09:50:15 CDT 2019,Sat Apr 20 09:50:15 CDT 2019,wan39502
755206,Sat Apr 20 10:22:44 CDT 2019,Sat Apr 20 10:22:44 CDT 2019,janfisch
755209,Sat Apr 20 20:52:45 CDT 2019,Sat Apr 20 10:45:17 CDT 2019,jieyao
755213,Sat Apr 20 11:15:54 CDT 2019,Sat Apr 20 11:15:53 CDT 2019,stepcouc
