JobID,user,submitTime,startTime,finishTime
754893,uozuguze,Fri Apr 19 13:18:03 CDT 2019,Fri Apr 19 17:08:08 CDT 2019,2019-04-20T05:40:00Z
754896,uozuguze,Fri Apr 19 13:18:04 CDT 2019,Fri Apr 19 17:08:09 CDT 2019,2019-04-20T05:25:00Z
754897,uozuguze,Fri Apr 19 13:18:04 CDT 2019,Fri Apr 19 17:35:28 CDT 2019,2019-04-20T05:50:00Z
754898,uozuguze,Fri Apr 19 13:18:04 CDT 2019,Fri Apr 19 17:35:29 CDT 2019,2019-04-20T05:50:00Z
755235,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:26 CDT 2019,2019-04-20T19:45:00Z
754900,uozuguze,Fri Apr 19 13:18:04 CDT 2019,Fri Apr 19 18:00:05 CDT 2019,2019-04-20T06:30:00Z
754901,uozuguze,Fri Apr 19 13:18:05 CDT 2019,Fri Apr 19 18:00:06 CDT 2019,2019-04-20T05:15:00Z
754902,uozuguze,Fri Apr 19 13:18:05 CDT 2019,Fri Apr 19 18:00:06 CDT 2019,2019-04-20T05:20:00Z
754903,uozuguze,Fri Apr 19 13:18:06 CDT 2019,Fri Apr 19 18:00:06 CDT 2019,2019-04-20T06:20:00Z
754904,uozuguze,Fri Apr 19 13:18:06 CDT 2019,Fri Apr 19 18:00:06 CDT 2019,2019-04-20T06:10:00Z
754905,uozuguze,Fri Apr 19 13:18:06 CDT 2019,Fri Apr 19 18:12:15 CDT 2019,2019-04-20T06:35:00Z
754906,uozuguze,Fri Apr 19 13:18:07 CDT 2019,Fri Apr 19 18:12:52 CDT 2019,2019-04-20T06:45:00Z
754907,uozuguze,Fri Apr 19 13:18:08 CDT 2019,Fri Apr 19 18:12:52 CDT 2019,2019-04-20T06:35:00Z
754908,uozuguze,Fri Apr 19 13:18:08 CDT 2019,Fri Apr 19 18:12:52 CDT 2019,2019-04-20T06:40:00Z
754909,uozuguze,Fri Apr 19 13:18:08 CDT 2019,Fri Apr 19 18:12:52 CDT 2019,2019-04-20T06:30:00Z
754910,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:12:52 CDT 2019,2019-04-20T06:30:00Z
755237,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019,2019-04-20T22:00:00Z
754912,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019,2019-04-20T07:10:00Z
754913,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019,2019-04-20T06:40:00Z
754914,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019,2019-04-20T07:00:00Z
754915,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 18:32:34 CDT 2019,2019-04-20T06:35:00Z
754916,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 18:33:50 CDT 2019,2019-04-20T07:05:00Z
755238,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
754918,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 19:34:55 CDT 2019,2019-04-20T07:50:00Z
754919,christan,Fri Apr 19 13:18:56 CDT 2019,Fri Apr 19 15:26:00 CDT 2019
754920,christan,Fri Apr 19 13:19:06 CDT 2019,Fri Apr 19 16:44:34 CDT 2019
754921,christan,Fri Apr 19 13:19:09 CDT 2019,Fri Apr 19 17:07:27 CDT 2019
754922,christan,Fri Apr 19 13:19:16 CDT 2019,Fri Apr 19 17:08:09 CDT 2019
755239,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
754924,christan,Fri Apr 19 13:19:22 CDT 2019,Fri Apr 19 18:00:06 CDT 2019
754925,christan,Fri Apr 19 13:19:25 CDT 2019,Fri Apr 19 18:12:52 CDT 2019
754926,christan,Fri Apr 19 13:19:27 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754927,christan,Fri Apr 19 13:19:30 CDT 2019,Fri Apr 19 18:32:34 CDT 2019
754928,christan,Fri Apr 19 13:19:33 CDT 2019,Fri Apr 19 19:11:05 CDT 2019
754929,christan,Fri Apr 19 13:19:36 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754930,christan,Fri Apr 19 13:19:39 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754931,christan,Fri Apr 19 13:19:42 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754932,christan,Fri Apr 19 13:19:46 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754933,christan,Fri Apr 19 13:19:49 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754934,christan,Fri Apr 19 13:19:52 CDT 2019,Fri Apr 19 19:34:56 CDT 2019
754935,christan,Fri Apr 19 13:20:25 CDT 2019,Fri Apr 19 19:35:39 CDT 2019
754936,christan,Fri Apr 19 13:20:28 CDT 2019,Fri Apr 19 19:35:39 CDT 2019
754937,christan,Fri Apr 19 13:20:31 CDT 2019,Fri Apr 19 20:00:03 CDT 2019
754938,christan,Fri Apr 19 13:20:34 CDT 2019,Fri Apr 19 20:12:47 CDT 2019
754939,christan,Fri Apr 19 13:20:59 CDT 2019,Fri Apr 19 20:12:47 CDT 2019
754940,christan,Fri Apr 19 13:21:03 CDT 2019,Fri Apr 19 20:12:47 CDT 2019
754941,christan,Fri Apr 19 13:21:08 CDT 2019,Fri Apr 19 20:22:15 CDT 2019
754942,christan,Fri Apr 19 13:21:12 CDT 2019,Fri Apr 19 20:22:16 CDT 2019
754943,christan,Fri Apr 19 13:21:15 CDT 2019,Fri Apr 19 20:22:16 CDT 2019
754944,christan,Fri Apr 19 13:21:18 CDT 2019,Fri Apr 19 20:22:16 CDT 2019
754945,christan,Fri Apr 19 13:21:23 CDT 2019,Fri Apr 19 21:02:32 CDT 2019
754946,christan,Fri Apr 19 13:21:26 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754947,christan,Fri Apr 19 13:21:29 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754948,christan,Fri Apr 19 13:21:32 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754949,christan,Fri Apr 19 13:21:35 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754950,christan,Fri Apr 19 13:21:38 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754951,christan,Fri Apr 19 13:21:42 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754952,christan,Fri Apr 19 13:21:44 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754953,christan,Fri Apr 19 13:21:48 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754954,christan,Fri Apr 19 13:21:51 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754955,christan,Fri Apr 19 13:21:54 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754956,christan,Fri Apr 19 13:22:00 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754957,christan,Fri Apr 19 13:22:03 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754958,christan,Fri Apr 19 13:22:06 CDT 2019,Fri Apr 19 21:02:33 CDT 2019
754959,johruska,Fri Apr 19 13:26:01 CDT 2019,Fri Apr 19 13:58:12 CDT 2019,2019-04-20T06:15:00Z
754565,obazgir,Thu Apr 18 19:46:28 CDT 2019,Thu Apr 18 19:52:49 CDT 2019,2019-04-20T03:10:00Z
754980,rosutton,Fri Apr 19 17:05:29 CDT 2019,Fri Apr 19 21:21:20 CDT 2019
754981,hge,Fri Apr 19 17:08:30 CDT 2019,Sat Apr 20 02:42:44 CDT 2019,2019-04-20T20:55:00Z
754982,hge,Fri Apr 19 17:09:04 CDT 2019,Sat Apr 20 06:40:16 CDT 2019,2019-04-20T20:50:00Z
754988,pnourian,Fri Apr 19 18:19:49 CDT 2019,Sat Apr 20 06:27:35 CDT 2019,2019-04-20T06:30:00Z
754989,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 07:01:33 CDT 2019
754990,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 19:36:49 CDT 2019
754991,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 21:30:07 CDT 2019,2019-04-20T21:30:00Z
754992,pnourian,Fri Apr 19 18:36:11 CDT 2019,Sat Apr 20 21:30:58 CDT 2019,2019-04-20T21:35:00Z
754993,pnourian,Fri Apr 19 18:36:12 CDT 2019,Sat Apr 20 21:32:27 CDT 2019,2019-04-20T21:35:00Z
754911,uozuguze,Fri Apr 19 13:18:09 CDT 2019,Fri Apr 19 18:32:34 CDT 2019,2019-04-20T06:45:00Z
754917,uozuguze,Fri Apr 19 13:18:10 CDT 2019,Fri Apr 19 18:59:57 CDT 2019,2019-04-20T06:40:00Z
754923,christan,Fri Apr 19 13:19:19 CDT 2019,Fri Apr 19 17:35:29 CDT 2019
755096,kafroz,Fri Apr 19 22:26:45 CDT 2019,Fri Apr 19 22:33:00 CDT 2019
755101,msanati,Fri Apr 19 22:36:57 CDT 2019,Fri Apr 19 22:48:45 CDT 2019,2019-04-20T01:15:00Z
755102,msanati,Fri Apr 19 22:41:44 CDT 2019,Fri Apr 19 23:59:12 CDT 2019,2019-04-20T03:55:00Z
