CMDLINE /opt/rh/rh-python36/password/usr/bin/python3 MetricsBuilder2.py
MEM 30.410156 1572297030.5304
MEM 30.851562 1572297030.6309
MEM 31.136719 1572297030.7315
MEM 31.167969 1572297030.8322
MEM 31.277344 1572297030.9329
MEM 31.726562 1572297031.0335
MEM 31.980469 1572297031.1340
MEM 32.300781 1572297031.2345
MEM 32.746094 1572297031.3350
MEM 33.199219 1572297031.4356
MEM 33.710938 1572297031.5361
MEM 35.773438 1572297031.6368
MEM 38.328125 1572297031.7374
MEM 39.515625 1572297031.8401
MEM 39.656250 1572297031.9406
MEM 39.703125 1572297032.0411
MEM 39.875000 1572297032.1416
MEM 39.871094 1572297032.2421
MEM 40.621094 1572297032.3427
MEM 40.902344 1572297032.4432
MEM 41.664062 1572297032.5439
MEM 41.929688 1572297032.6444
MEM 41.929688 1572297032.7451
MEM 42.441406 1572297032.8456
MEM 42.699219 1572297032.9462
MEM 43.339844 1572297033.0469
MEM 44.980469 1572297033.1476
MEM 44.972656 1572297033.2482
MEM 46.402344 1572297033.3488
MEM 46.792969 1572297033.4494
MEM 47.000000 1572297033.5499
MEM 47.968750 1572297033.6506
MEM 47.968750 1572297033.7511
MEM 48.226562 1572297033.8518
MEM 48.226562 1572297033.9523
MEM 48.773438 1572297034.0529
MEM 49.320312 1572297034.1533
MEM 49.773438 1572297034.2539
MEM 50.132812 1572297034.3544
MEM 50.148438 1572297034.4550
MEM 50.496094 1572297034.5555
MEM 51.406250 1572297034.6560
MEM 51.710938 1572297034.7566
MEM 52.000000 1572297034.8571
MEM 52.035156 1572297034.9578
MEM 52.433594 1572297035.0584
MEM 52.855469 1572297035.1590
MEM 53.054688 1572297035.2597
MEM 53.449219 1572297035.3603
MEM 53.562500 1572297035.4610
MEM 53.867188 1572297035.5617
MEM 54.183594 1572297035.6623
MEM 54.355469 1572297035.7630
MEM 54.746094 1572297035.8636
MEM 55.292969 1572297035.9644
MEM 55.695312 1572297036.0652
MEM 55.992188 1572297036.1658
MEM 56.062500 1572297036.2664
MEM 56.414062 1572297036.3672
MEM 56.707031 1572297036.4679
MEM 57.097656 1572297036.5685
MEM 57.480469 1572297036.6692
MEM 57.937500 1572297036.7699
MEM 58.253906 1572297036.8705
MEM 58.585938 1572297036.9713
MEM 58.695312 1572297037.0719
MEM 59.066406 1572297037.1725
MEM 59.394531 1572297037.2732
MEM 59.617188 1572297037.3740
MEM 59.738281 1572297037.4746
MEM 59.843750 1572297037.5753
MEM 59.843750 1572297037.6759
MEM 59.843750 1572297037.7766
MEM 59.859375 1572297037.8773
MEM 60.113281 1572297037.9780
MEM 60.152344 1572297038.0786
MEM 60.152344 1572297038.1793
MEM 60.406250 1572297038.2801
MEM 60.406250 1572297038.3807
MEM 60.679688 1572297038.4812
MEM 60.738281 1572297038.5818
MEM 60.738281 1572297038.6824
MEM 60.781250 1572297038.7831
MEM 61.113281 1572297038.8837
MEM 61.519531 1572297038.9843
MEM 61.804688 1572297039.0850
MEM 62.921875 1572297039.1857
MEM 63.210938 1572297039.2864
MEM 63.449219 1572297039.3870
MEM 64.238281 1572297039.4876
MEM 64.542969 1572297039.5883
MEM 65.613281 1572297039.6889
MEM 65.750000 1572297039.7896
MEM 65.882812 1572297039.8901
MEM 65.882812 1572297039.9908
MEM 66.136719 1572297040.0915
MEM 66.136719 1572297040.1923
MEM 66.136719 1572297040.2930
MEM 66.390625 1572297040.3938
MEM 66.390625 1572297040.4943
MEM 66.390625 1572297040.5950
MEM 66.445312 1572297040.6957
MEM 66.445312 1572297040.7964
MEM 66.445312 1572297040.8970
MEM 66.445312 1572297040.9976
MEM 66.445312 1572297041.0984
MEM 66.507812 1572297041.1990
MEM 66.902344 1572297041.2997
MEM 67.687500 1572297041.4004
MEM 67.976562 1572297041.5010
MEM 69.187500 1572297041.6017
MEM 69.507812 1572297041.7024
MEM 69.746094 1572297041.8031
MEM 69.937500 1572297041.9038
MEM 70.375000 1572297042.0045
MEM 70.769531 1572297042.1051
MEM 70.953125 1572297042.2056
MEM 71.039062 1572297042.3063
MEM 71.226562 1572297042.4069
MEM 71.226562 1572297042.5076
MEM 71.226562 1572297042.6082
MEM 71.363281 1572297042.7089
MEM 71.363281 1572297042.8096
MEM 71.617188 1572297042.9103
MEM 71.882812 1572297043.0108
MEM 71.882812 1572297043.1115
MEM 71.894531 1572297043.2122
MEM 71.894531 1572297043.3128
MEM 71.894531 1572297043.4134
MEM 72.039062 1572297043.5141
MEM 72.250000 1572297043.6148
MEM 72.656250 1572297043.7154
MEM 73.117188 1572297043.8160
MEM 73.570312 1572297043.9167
MEM 73.917969 1572297044.0174
MEM 75.355469 1572297044.1180
MEM 75.863281 1572297044.2187
MEM 76.167969 1572297044.3192
MEM 76.574219 1572297044.4199
MEM 76.722656 1572297044.5204
MEM 76.964844 1572297044.6213
MEM 76.964844 1572297044.7220
MEM 76.964844 1572297044.8225
MEM 76.964844 1572297044.9232
MEM 76.964844 1572297045.0240
MEM 77.218750 1572297045.1245
MEM 77.218750 1572297045.2253
MEM 77.218750 1572297045.3260
MEM 77.218750 1572297045.4266
MEM 77.218750 1572297045.5271
MEM 77.218750 1572297045.6278
MEM 77.218750 1572297045.7282
MEM 77.218750 1572297045.8288
MEM 77.292969 1572297045.9294
MEM 77.433594 1572297046.0301
MEM 77.574219 1572297046.1308
MEM 77.746094 1572297046.2314
MEM 78.355469 1572297046.3320
MEM 78.644531 1572297046.4327
MEM 78.742188 1572297046.5333
MEM 78.878906 1572297046.6340
MEM 79.101562 1572297046.7347
